tour,year,season,event_completed,event_name,event_id,player_name,dg_id,fin_text,round_num,course_name,course_num,course_par,start_hole,teetime,round_score,sg_putt,sg_arg,sg_app,sg_ott,sg_t2g,sg_total,driving_dist,driving_acc,gir,scrambling,prox_rgh,prox_fw,great_shots,poor_shots,eagles_or_better,birdies,pars,bogies,doubles_or_worse,finish_num,round_date
pga,2024,2024,2024-01-07,The Sentry,16,"Echavarria, Nico",22833,T25,3,Plantation Course at Kapalua,656,73.0,10.0,7:57am,68.0,1.64,0.2,-0.115,0.766,0.851,2.492,313.6,0.533,0.889,0.6,18.921,44.058,5.0,2.0,1.0,4.0,12.0,1.0,0.0,25,2024-01-06
pga,2024,2024,2024-01-07,The Sentry,16,"Finau, Tony",11676,T38,3,Plantation Course at Kapalua,656,73.0,1.0,8:21am,71.0,-1.816,-0.166,0.046,1.428,1.307,-0.508,317.1,0.667,0.778,0.429,35.033,28.406,3.0,5.0,0.0,5.0,10.0,3.0,0.0,38,2024-01-06
pga,2024,2024,2024-01-07,The Sentry,16,"Finau, Tony",11676,T38,4,Plantation Course at Kapalua,656,73.0,1.0,7:57am,69.0,1.136,-1.702,-0.59,-1.182,-3.475,-2.339,319.5,0.533,0.778,0.571,43.799,21.947,5.0,7.0,1.0,6.0,8.0,2.0,1.0,38,2024-01-07
pga,2024,2024,2024-01-07,The Sentry,16,"Hoge, Tom",15575,T38,1,Plantation Course at Kapalua,656,73.0,1.0,8:45am,67.0,0.328,0.855,2.964,-2.317,1.503,1.831,308.6,0.267,0.778,0.6,29.557,38.771,7.0,4.0,1.0,7.0,7.0,3.0,0.0,38,2024-01-04
pga,2024,2024,2024-01-07,The Sentry,16,"Hoge, Tom",15575,T38,2,Plantation Course at Kapalua,656,73.0,1.0,10:51am,69.0,-0.532,-2.192,1.127,0.072,-0.994,-1.525,304.6,0.733,0.889,0.0,49.294,20.911,2.0,3.0,0.0,7.0,9.0,1.0,1.0,38,2024-01-05
pga,2024,2024,2024-01-07,The Sentry,16,"Hoge, Tom",15575,T38,3,Plantation Course at Kapalua,656,73.0,1.0,7:57am,71.0,1.647,-1.346,-0.733,-0.077,-2.156,-0.508,298.5,0.6,0.778,0.5,30.811,46.673,4.0,4.0,0.0,4.0,12.0,2.0,0.0,38,2024-01-06
pga,2024,2024,2024-01-07,The Sentry,16,"Hoge, Tom",15575,T38,4,Plantation Course at Kapalua,656,73.0,10.0,8:09am,68.0,-2.087,-1.052,0.947,0.853,0.748,-1.339,314.8,0.667,0.944,0.667,11.904,26.12,3.0,1.0,0.0,5.0,13.0,0.0,0.0,38,2024-01-07
pga,2024,2024,2024-01-07,The Sentry,16,"Rose, Justin",6093,T40,1,Plantation Course at Kapalua,656,73.0,1.0,11:15am,71.0,2.226,-0.13,-2.615,-1.649,-4.395,-2.169,309.2,0.667,0.722,0.8,34.743,40.021,3.0,5.0,0.0,6.0,9.0,2.0,1.0,40,2024-01-04
pga,2024,2024,2024-01-07,The Sentry,16,"Rose, Justin",6093,T40,2,Plantation Course at Kapalua,656,73.0,1.0,9:09am,69.0,-1.182,1.48,-1.288,-0.536,-0.344,-1.525,310.6,0.467,0.778,0.714,33.282,34.899,0.0,4.0,0.0,4.0,14.0,0.0,0.0,40,2024-01-05
pga,2024,2024,2024-01-07,The Sentry,16,"Rose, Justin",6093,T40,3,Plantation Course at Kapalua,656,73.0,10.0,9:21am,75.0,-0.591,-1.327,-1.784,-0.807,-3.918,-4.508,303.8,0.6,0.833,0.429,16.369,52.203,2.0,4.0,0.0,3.0,12.0,2.0,1.0,40,2024-01-06
pga,2024,2024,2024-01-07,The Sentry,16,"Rose, Justin",6093,T40,4,Plantation Course at Kapalua,656,73.0,10.0,9:33am,61.0,2.429,0.702,2.512,0.018,3.232,5.661,309.6,0.733,0.833,1.0,16.395,20.234,2.0,3.0,0.0,12.0,6.0,0.0,0.0,40,2024-01-07
