tour,event_name,course_name,event_id,date_start,date_end,last_updated,current_round,tz_offset,dg_id,player_num,player_name,am,pre_tourn_pageviews,country,dg_rank,owgr_rank,tour_rank,r1_course_code,r1_course_name,r1_course_num,r1_round_num,r1_start_hole,r1_teetime,r1_wave,r2_course_code,r2_course_name,r2_course_num,r2_round_num,r2_start_hole,r2_teetime,r2_wave,r3_course_code,r3_course_name,r3_course_num,r3_round_num,r3_start_hole,r3_teetime,r3_wave,r4_course_code,r4_course_name,r4_course_num,r4_round_num,r4_start_hole,r4_teetime,r4_wave
pga,Arnold Palmer Invitational presented by Mastercard,Arnold Palmer's Bay Hill Club & Lodge,9,2026-03-05,2026-03-08,2026-03-02 20:02:31 UTC,1,-18000,23950,52955,"Aberg, Ludvig",0,634,SWE,25.0,23.0,88.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pga,Arnold Palmer Invitational presented by Mastercard,Arnold Palmer's Bay Hill Club & Lodge,9,2026-03-05,2026-03-08,2026-03-02 20:02:31 UTC,1,-18000,30332,63931,"Bennett, Daniel",1,70,RSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pga,Arnold Palmer Invitational presented by Mastercard,Arnold Palmer's Bay Hill Club & Lodge,9,2026-03-05,2026-03-08,2026-03-02 20:02:31 UTC,1,-18000,17606,40026,"Berger, Daniel",0,236,USA,76.0,61.0,45.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pga,Arnold Palmer Invitational presented by Mastercard,Arnold Palmer's Bay Hill Club & Lodge,9,2026-03-05,2026-03-08,2026-03-02 20:02:31 UTC,1,-18000,26096,56630,"Bhatia, Akshay",0,336,USA,35.0,39.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pga,Arnold Palmer Invitational presented by Mastercard,Arnold Palmer's Bay Hill Club & Lodge,9,2026-03-05,2026-03-08,2026-03-02 20:02:31 UTC,1,-18000,13872,33141,"Bradley, Keegan",0,385,USA,36.0,20.0,111.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pga,Arnold Palmer Invitational presented by Mastercard,Arnold Palmer's Bay Hill Club & Lodge,9,2026-03-05,2026-03-08,2026-03-02 20:02:31 UTC,1,-18000,29433,60004,"Bridgeman, Jacob",0,385,USA,27.0,19.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pga,Arnold Palmer Invitational presented by Mastercard,Arnold Palmer's Bay Hill Club & Lodge,9,2026-03-05,2026-03-08,2026-03-02 20:02:31 UTC,1,-18000,19483,47504,"Burns, Sam",0,293,USA,19.0,29.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pga,Arnold Palmer Invitational presented by Mastercard,Arnold Palmer's Bay Hill Club & Lodge,9,2026-03-05,2026-03-08,2026-03-02 20:02:31 UTC,1,-18000,18628,46443,"Campbell, Brian",0,64,USA,355.0,92.0,148.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pga,Arnold Palmer Invitational presented by Mastercard,Arnold Palmer's Bay Hill Club & Lodge,9,2026-03-05,2026-03-08,2026-03-02 20:02:31 UTC,1,-18000,15466,35450,"Cantlay, Patrick",0,305,USA,17.0,31.0,48.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pga,Arnold Palmer Invitational presented by Mastercard,Arnold Palmer's Bay Hill Club & Lodge,9,2026-03-05,2026-03-08,2026-03-02 20:02:31 UTC,1,-18000,14502,34021,"Cauley, Bud",0,108,USA,121.0,82.0,102.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pga,Arnold Palmer Invitational presented by Mastercard,Arnold Palmer's Bay Hill Club & Lodge,9,2026-03-05,2026-03-08,2026-03-02 20:02:31 UTC,1,-18000,17576,39997,"Conners, Corey",0,525,CAN,54.0,38.0,99.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pga,Arnold Palmer Invitational presented by Mastercard,Arnold Palmer's Bay Hill Club & Lodge,9,2026-03-05,2026-03-08,2026-03-02 20:02:31 UTC,1,-18000,28309,59836,"Coody, Pierceson",0,423,USA,38.0,47.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pga,Arnold Palmer Invitational presented by Mastercard,Arnold Palmer's Bay Hill Club & Lodge,9,2026-03-05,2026-03-08,2026-03-02 20:02:31 UTC,1,-18000,14509,34076,"Dahmen, Joel",0,301,USA,116.0,160.0,43.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pga,Arnold Palmer Invitational presented by Mastercard,Arnold Palmer's Bay Hill Club & Lodge,9,2026-03-05,2026-03-08,2026-03-02 20:02:31 UTC,1,-18000,9771,28089,"Day, Jason",0,252,AUS,41.0,37.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pga,Arnold Palmer Invitational presented by Mastercard,Arnold Palmer's Bay Hill Club & Lodge,9,2026-03-05,2026-03-08,2026-03-02 20:02:31 UTC,1,-18000,22833,51349,"Echavarria, Nico",0,691,COL,57.0,34.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pga,Arnold Palmer Invitational presented by Mastercard,Arnold Palmer's Bay Hill Club & Lodge,9,2026-03-05,2026-03-08,2026-03-02 20:02:31 UTC,1,-18000,14577,34099,"English, Harris",0,393,USA,16.0,15.0,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pga,Arnold Palmer Invitational presented by Mastercard,Arnold Palmer's Bay Hill Club & Lodge,9,2026-03-05,2026-03-08,2026-03-02 20:02:31 UTC,1,-18000,17646,40098,"Fitzpatrick, Matt",0,1158,ENG,8.0,22.0,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pga,Arnold Palmer Invitational presented by Mastercard,Arnold Palmer's Bay Hill Club & Lodge,9,2026-03-05,2026-03-08,2026-03-02 20:02:31 UTC,1,-18000,12294,30911,"Fleetwood, Tommy",0,870,ENG,4.0,3.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pga,Arnold Palmer Invitational presented by Mastercard,Arnold Palmer's Bay Hill Club & Lodge,9,2026-03-05,2026-03-08,2026-03-02 20:02:31 UTC,1,-18000,12965,32102,"Fowler, Rickie",0,421,USA,22.0,67.0,44.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pga,Arnold Palmer Invitational presented by Mastercard,Arnold Palmer's Bay Hill Club & Lodge,9,2026-03-05,2026-03-08,2026-03-02 20:02:31 UTC,1,-18000,11889,29936,"Fox, Ryan",0,310,NZL,53.0,44.0,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pga,Arnold Palmer Invitational presented by Mastercard,Arnold Palmer's Bay Hill Club & Lodge,9,2026-03-05,2026-03-08,2026-03-02 20:02:31 UTC,1,-18000,29767,59018,"Gerard, Ryan",0,422,USA,30.0,26.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pga,Arnold Palmer Invitational presented by Mastercard,Arnold Palmer's Bay Hill Club & Lodge,9,2026-03-05,2026-03-08,2026-03-02 20:02:31 UTC,1,-18000,7399,25900,"Glover, Lucas",0,94,USA,95.0,78.0,157.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pga,Arnold Palmer Invitational presented by Mastercard,Arnold Palmer's Bay Hill Club & Lodge,9,2026-03-05,2026-03-08,2026-03-02 20:02:31 UTC,1,-18000,27774,59095,"Gotterup, Chris",0,481,USA,29.0,6.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pga,Arnold Palmer Invitational presented by Mastercard,Arnold Palmer's Bay Hill Club & Lodge,9,2026-03-05,2026-03-08,2026-03-02 20:02:31 UTC,1,-18000,23465,51977,"Greyserman, Max",0,150,USA,60.0,52.0,96.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pga,Arnold Palmer Invitational presented by Mastercard,Arnold Palmer's Bay Hill Club & Lodge,9,2026-03-05,2026-03-08,2026-03-02 20:02:31 UTC,1,-18000,24968,54591,"Griffin, Ben",0,265,USA,12.0,11.0,54.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pga,Arnold Palmer Invitational presented by Mastercard,Arnold Palmer's Bay Hill Club & Lodge,9,2026-03-05,2026-03-08,2026-03-02 20:02:31 UTC,1,-18000,27194,57975,"Hall, Harry",0,99,ENG,33.0,60.0,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pga,Arnold Palmer Invitational presented by Mastercard,Arnold Palmer's Bay Hill Club & Lodge,9,2026-03-05,2026-03-08,2026-03-02 20:02:31 UTC,1,-18000,8825,27644,"Harman, Brian",0,135,USA,100.0,55.0,92.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pga,Arnold Palmer Invitational presented by Mastercard,Arnold Palmer's Bay Hill Club & Lodge,9,2026-03-05,2026-03-08,2026-03-02 20:02:31 UTC,1,-18000,14578,34098,"Henley, Russell",0,581,USA,6.0,7.0,46.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pga,Arnold Palmer Invitational presented by Mastercard,Arnold Palmer's Bay Hill Club & Lodge,9,2026-03-05,2026-03-08,2026-03-02 20:02:31 UTC,1,-18000,22760,51287,"Hisatsune, Ryo",0,217,JPN,91.0,64.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pga,Arnold Palmer Invitational presented by Mastercard,Arnold Palmer's Bay Hill Club & Lodge,9,2026-03-05,2026-03-08,2026-03-02 20:02:31 UTC,1,-18000,15575,35532,"Hoge, Tom",0,107,USA,155.0,95.0,41.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pga,Arnold Palmer Invitational presented by Mastercard,Arnold Palmer's Bay Hill Club & Lodge,9,2026-03-05,2026-03-08,2026-03-02 20:02:31 UTC,1,-18000,23602,52453,"Hojgaard, Nicolai",0,570,DEN,39.0,50.0,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pga,Arnold Palmer Invitational presented by Mastercard,Arnold Palmer's Bay Hill Club & Lodge,9,2026-03-05,2026-03-08,2026-03-02 20:02:31 UTC,1,-18000,11276,29420,"Horschel, Billy",0,152,USA,150.0,84.0,109.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pga,Arnold Palmer Invitational presented by Mastercard,Arnold Palmer's Bay Hill Club & Lodge,9,2026-03-05,2026-03-08,2026-03-02 20:02:31 UTC,1,-18000,18841,46717,"Hovland, Viktor",0,493,NOR,24.0,17.0,71.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pga,Arnold Palmer Invitational presented by Mastercard,Arnold Palmer's Bay Hill Club & Lodge,9,2026-03-05,2026-03-08,2026-03-02 20:02:31 UTC,1,-18000,17488,39971,"Im, Sungjae",0,302,KOR,125.0,72.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pga,Arnold Palmer Invitational presented by Mastercard,Arnold Palmer's Bay Hill Club & Lodge,9,2026-03-05,2026-03-08,2026-03-02 20:02:31 UTC,1,-18000,17543,39975,"Kim, Michael",0,202,USA,93.0,51.0,91.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pga,Arnold Palmer Invitational presented by Mastercard,Arnold Palmer's Bay Hill Club & Lodge,9,2026-03-05,2026-03-08,2026-03-02 20:02:31 UTC,1,-18000,14609,37455,"Kim, Si Woo",0,600,KOR,10.0,28.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pga,Arnold Palmer Invitational presented by Mastercard,Arnold Palmer's Bay Hill Club & Lodge,9,2026-03-05,2026-03-08,2026-03-02 20:02:31 UTC,1,-18000,12423,30926,"Kirk, Chris",0,138,USA,85.0,98.0,141.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pga,Arnold Palmer Invitational presented by Mastercard,Arnold Palmer's Bay Hill Club & Lodge,9,2026-03-05,2026-03-08,2026-03-02 20:02:31 UTC,1,-18000,21891,48117,"Kitayama, Kurt",0,463,USA,26.0,30.0,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pga,Arnold Palmer Invitational presented by Mastercard,Arnold Palmer's Bay Hill Club & Lodge,9,2026-03-05,2026-03-08,2026-03-02 20:02:31 UTC,1,-18000,19396,47420,"Knapp, Jake",0,812,USA,15.0,41.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pga,Arnold Palmer Invitational presented by Mastercard,Arnold Palmer's Bay Hill Club & Lodge,9,2026-03-05,2026-03-08,2026-03-02 20:02:31 UTC,1,-18000,16841,37378,"Lee, Min Woo",0,395,AUS,32.0,32.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pga,Arnold Palmer Invitational presented by Mastercard,Arnold Palmer's Bay Hill Club & Lodge,9,2026-03-05,2026-03-08,2026-03-02 20:02:31 UTC,1,-18000,13900,33204,"Lowry, Shane",0,1015,IRL,14.0,27.0,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pga,Arnold Palmer Invitational presented by Mastercard,Arnold Palmer's Bay Hill Club & Lodge,9,2026-03-05,2026-03-08,2026-03-02 20:02:31 UTC,1,-18000,23323,52215,"MacIntyre, Robert",0,415,SCO,11.0,8.0,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pga,Arnold Palmer Invitational presented by Mastercard,Arnold Palmer's Bay Hill Club & Lodge,9,2026-03-05,2026-03-08,2026-03-02 20:02:31 UTC,1,-18000,13562,32839,"Matsuyama, Hideki",0,547,JPN,7.0,12.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pga,Arnold Palmer Invitational presented by Mastercard,Arnold Palmer's Bay Hill Club & Lodge,9,2026-03-05,2026-03-08,2026-03-02 20:02:31 UTC,1,-18000,19870,47993,"McCarthy, Denny",0,96,USA,67.0,89.0,108.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pga,Arnold Palmer Invitational presented by Mastercard,Arnold Palmer's Bay Hill Club & Lodge,9,2026-03-05,2026-03-08,2026-03-02 20:02:31 UTC,1,-18000,28635,59141,"McCarty, Matt",0,113,USA,47.0,40.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pga,Arnold Palmer Invitational presented by Mastercard,Arnold Palmer's Bay Hill Club & Lodge,9,2026-03-05,2026-03-08,2026-03-02 20:02:31 UTC,1,-18000,10091,28237,"McIlroy, Rory",0,994,NIR,3.0,2.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pga,Arnold Palmer Invitational presented by Mastercard,Arnold Palmer's Bay Hill Club & Lodge,9,2026-03-05,2026-03-08,2026-03-02 20:02:31 UTC,1,-18000,18634,46442,"McNealy, Maverick",0,235,USA,21.0,24.0,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pga,Arnold Palmer Invitational presented by Mastercard,Arnold Palmer's Bay Hill Club & Lodge,9,2026-03-05,2026-03-08,2026-03-02 20:02:31 UTC,1,-18000,17365,39546,"Mitchell, Keith",0,340,USA,58.0,111.0,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pga,Arnold Palmer Invitational presented by Mastercard,Arnold Palmer's Bay Hill Club & Lodge,9,2026-03-05,2026-03-08,2026-03-02 20:02:31 UTC,1,-18000,21944,49947,"Moore, Taylor",0,172,USA,129.0,138.0,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pga,Arnold Palmer Invitational presented by Mastercard,Arnold Palmer's Bay Hill Club & Lodge,9,2026-03-05,2026-03-08,2026-03-02 20:02:31 UTC,1,-18000,22085,50525,"Morikawa, Collin",0,923,USA,18.0,5.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pga,Arnold Palmer Invitational presented by Mastercard,Arnold Palmer's Bay Hill Club & Lodge,9,2026-03-05,2026-03-08,2026-03-02 20:02:31 UTC,1,-18000,10419,27349,"Noren, Alex",0,227,SWE,20.0,16.0,57.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pga,Arnold Palmer Invitational presented by Mastercard,Arnold Palmer's Bay Hill Club & Lodge,9,2026-03-05,2026-03-08,2026-03-02 20:02:31 UTC,1,-18000,23475,51997,"Novak, Andrew",0,112,USA,108.0,42.0,61.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pga,Arnold Palmer Invitational presented by Mastercard,Arnold Palmer's Bay Hill Club & Lodge,9,2026-03-05,2026-03-08,2026-03-02 20:02:31 UTC,1,-18000,17780,40250,"Pendrith, Taylor",0,132,CAN,45.0,62.0,58.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pga,Arnold Palmer Invitational presented by Mastercard,Arnold Palmer's Bay Hill Club & Lodge,9,2026-03-05,2026-03-08,2026-03-02 20:02:31 UTC,1,-18000,21554,49771,"Poston, J.T.",0,97,USA,52.0,65.0,105.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pga,Arnold Palmer Invitational presented by Mastercard,Arnold Palmer's Bay Hill Club & Lodge,9,2026-03-05,2026-03-08,2026-03-02 20:02:31 UTC,1,-18000,27900,63343,"Potgieter, Aldrich",0,198,RSA,179.0,68.0,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pga,Arnold Palmer Invitational presented by Mastercard,Arnold Palmer's Bay Hill Club & Lodge,9,2026-03-05,2026-03-08,2026-03-02 20:02:31 UTC,1,-18000,14704,34256,"Putnam, Andrew",0,182,USA,151.0,122.0,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pga,Arnold Palmer Invitational presented by Mastercard,Arnold Palmer's Bay Hill Club & Lodge,9,2026-03-05,2026-03-08,2026-03-02 20:02:31 UTC,1,-18000,16283,36699,"Rodgers, Patrick",0,124,USA,70.0,85.0,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pga,Arnold Palmer Invitational presented by Mastercard,Arnold Palmer's Bay Hill Club & Lodge,9,2026-03-05,2026-03-08,2026-03-02 20:02:31 UTC,1,-18000,6093,22405,"Rose, Justin",0,335,ENG,37.0,4.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pga,Arnold Palmer Invitational presented by Mastercard,Arnold Palmer's Bay Hill Club & Lodge,9,2026-03-05,2026-03-08,2026-03-02 20:02:31 UTC,1,-18000,19895,48081,"Schauffele, Xander",0,656,USA,5.0,10.0,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pga,Arnold Palmer Invitational presented by Mastercard,Arnold Palmer's Bay Hill Club & Lodge,9,2026-03-05,2026-03-08,2026-03-02 20:02:31 UTC,1,-18000,18417,46046,"Scheffler, Scottie",0,883,USA,1.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pga,Arnold Palmer Invitational presented by Mastercard,Arnold Palmer's Bay Hill Club & Lodge,9,2026-03-05,2026-03-08,2026-03-02 20:02:31 UTC,1,-18000,6430,24502,"Scott, Adam",0,376,AUS,34.0,53.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pga,Arnold Palmer Invitational presented by Mastercard,Arnold Palmer's Bay Hill Club & Lodge,9,2026-03-05,2026-03-08,2026-03-02 20:02:31 UTC,1,-18000,22985,50095,"Smotherman, Austin",0,251,USA,134.0,99.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
