player_name,dg_id,bet365,betonline,betmgm,betway,bovada,caesars,draftkings,fanduel,skybet,pointsbet,williamhill,unibet,datagolf_baseline,datagolf_base_history_fit,last_updated,event_name,market
"Scheffler, Scottie",18417,4.0,4.5,4.33,4.0,4.25,4.3,4.0,4.4,3.75,4.0,4.0,4.25,6.0802594244020955,5.840552905675059,2026-03-02 19:12:51 UTC,Arnold Palmer Invitational presented by Mastercard,win
"McIlroy, Rory",10091,10.0,11.0,10.0,10.0,10.0,11.0,10.6,11.0,9.0,10.0,10.0,11.0,15.86462189317822,12.430080795525171,2026-03-02 19:12:51 UTC,Arnold Palmer Invitational presented by Mastercard,win
"Fleetwood, Tommy",12294,17.0,21.0,19.0,17.0,19.0,18.5,18.5,20.0,13.0,17.0,17.0,19.0,25.89555459646092,23.328149300155506,2026-03-02 19:12:51 UTC,Arnold Palmer Invitational presented by Mastercard,win
"Fitzpatrick, Matt",17646,23.0,23.0,26.0,23.0,23.0,23.0,27.0,26.0,17.0,23.0,23.0,26.0,36.8098159509202,26.7022696929239,2026-03-02 19:12:51 UTC,Arnold Palmer Invitational presented by Mastercard,win
"Schauffele, Xander",19895,21.0,26.0,23.0,21.0,23.0,25.0,23.5,26.0,19.0,21.0,21.0,26.0,25.662959794696302,30.3030303030303,2026-03-02 19:12:51 UTC,Arnold Palmer Invitational presented by Mastercard,win
"Kim, Si Woo",14609,31.0,34.0,36.0,34.0,36.0,36.0,33.0,28.0,23.0,29.0,34.0,31.0,38.14367450731082,35.10825043885317,2026-03-02 19:12:51 UTC,Arnold Palmer Invitational presented by Mastercard,win
"Morikawa, Collin",22085,23.0,26.0,23.0,26.0,26.0,23.0,32.0,26.0,19.0,26.0,26.0,29.0,33.82187147688835,35.4819633353046,2026-03-02 19:12:51 UTC,Arnold Palmer Invitational presented by Mastercard,win
"Young, Cameron",26651,31.0,36.0,34.0,34.0,36.0,36.0,33.0,34.0,23.0,34.0,34.0,34.0,44.742729306487696,47.46835443037968,2026-03-02 19:12:51 UTC,Arnold Palmer Invitational presented by Mastercard,win
"English, Harris",14577,34.0,41.0,46.0,34.0,41.0,41.0,38.0,41.0,29.0,34.0,36.0,41.0,58.13953488372093,47.69475357710645,2026-03-02 19:12:51 UTC,Arnold Palmer Invitational presented by Mastercard,win
"Lee, Min Woo",16841,46.0,46.0,46.0,41.0,51.0,56.0,49.0,41.0,29.0,41.0,46.0,46.0,35.90664272890485,49.01960784313725,2026-03-02 19:12:51 UTC,Arnold Palmer Invitational presented by Mastercard,win
"Matsuyama, Hideki",13562,29.0,36.0,29.0,29.0,31.0,29.0,31.0,31.0,23.0,29.0,29.0,31.0,47.58128469468668,49.01960784313725,2026-03-02 19:12:51 UTC,Arnold Palmer Invitational presented by Mastercard,win
"Henley, Russell",14578,29.0,36.0,29.0,29.0,31.0,30.0,31.0,31.0,23.0,29.0,29.0,31.0,60.422960725075534,51.858254105445205,2026-03-02 19:12:51 UTC,Arnold Palmer Invitational presented by Mastercard,win
"Knapp, Jake",19396,36.0,41.0,29.0,34.0,41.0,31.0,39.0,41.0,29.0,34.0,36.0,41.0,41.124057573680545,54.89478499542533,2026-03-02 19:12:51 UTC,Arnold Palmer Invitational presented by Mastercard,win
"Gerard, Ryan",29767,56.0,56.0,61.0,67.0,71.0,61.0,65.0,46.0,31.0,51.0,71.0,56.0,46.3320463320464,58.30903790087464,2026-03-02 19:12:51 UTC,Arnold Palmer Invitational presented by Mastercard,win
"Kitayama, Kurt",21891,41.0,51.0,41.0,34.0,46.0,41.0,45.0,41.0,29.0,41.0,41.0,46.0,53.097345132743456,59.880239520958085,2026-03-02 19:12:51 UTC,Arnold Palmer Invitational presented by Mastercard,win
"Fowler, Rickie",12965,51.0,51.0,51.0,41.0,51.0,51.0,46.0,46.0,31.0,41.0,46.0,51.0,74.44168734491333,62.43496357960445,2026-03-02 19:12:51 UTC,Arnold Palmer Invitational presented by Mastercard,win
"MacIntyre, Robert",23323,36.0,51.0,41.0,34.0,36.0,41.0,34.0,41.0,26.0,34.0,34.0,36.0,60.36217303822926,63.897763578274756,2026-03-02 19:12:51 UTC,Arnold Palmer Invitational presented by Mastercard,win
"Cantlay, Patrick",15466,36.0,51.0,41.0,34.0,36.0,41.0,34.0,41.0,26.0,34.0,34.0,36.0,59.28853754940699,64.17112299465255,2026-03-02 19:12:51 UTC,Arnold Palmer Invitational presented by Mastercard,win
"Hojgaard, Nicolai",23602,61.0,61.0,61.0,51.0,61.0,66.0,67.0,56.0,34.0,51.0,61.0,61.0,52.585451358457405,65.07592190889356,2026-03-02 19:12:51 UTC,Arnold Palmer Invitational presented by Mastercard,win
"Lowry, Shane",13900,46.0,56.0,41.0,41.0,51.0,51.0,50.0,46.0,31.0,34.0,41.0,46.0,63.82978723404241,65.71741511500534,2026-03-02 19:12:51 UTC,Arnold Palmer Invitational presented by Mastercard,win
"McNealy, Maverick",18634,46.0,56.0,56.0,41.0,51.0,56.0,48.0,51.0,31.0,51.0,46.0,56.0,61.28702757916228,66.15214994487306,2026-03-02 19:12:51 UTC,Arnold Palmer Invitational presented by Mastercard,win
"Gotterup, Chris",27774,36.0,41.0,46.0,41.0,41.0,31.0,43.0,41.0,31.0,41.0,41.0,46.0,50.04170141784829,66.81514476614684,2026-03-02 19:12:51 UTC,Arnold Palmer Invitational presented by Mastercard,win
"Coody, Pierceson",28309,56.0,56.0,51.0,51.0,61.0,61.0,59.0,56.0,36.0,51.0,56.0,61.0,65.86169045005502,68.8863375430538,2026-03-02 19:12:51 UTC,Arnold Palmer Invitational presented by Mastercard,win
"Hovland, Viktor",18841,36.0,51.0,41.0,34.0,41.0,41.0,39.0,41.0,29.0,34.0,36.0,41.0,77.7202072538858,70.09345794392507,2026-03-02 19:12:51 UTC,Arnold Palmer Invitational presented by Mastercard,win
"Scott, Adam",6430,46.0,61.0,46.0,41.0,51.0,56.0,49.0,46.0,31.0,41.0,46.0,51.0,80.75370121130574,73.71007371007353,2026-03-02 19:12:51 UTC,Arnold Palmer Invitational presented by Mastercard,win
"Rose, Justin",6093,46.0,61.0,51.0,41.0,51.0,56.0,48.0,51.0,34.0,51.0,41.0,51.0,89.41877794336837,74.53416149068305,2026-03-02 19:12:51 UTC,Arnold Palmer Invitational presented by Mastercard,win
"Griffin, Ben",24968,46.0,51.0,51.0,34.0,46.0,41.0,37.0,41.0,31.0,41.0,41.0,41.0,62.95907660020999,75.37688442211036,2026-03-02 19:12:51 UTC,Arnold Palmer Invitational presented by Mastercard,win
"Burns, Sam",19483,51.0,66.0,51.0,41.0,51.0,51.0,43.0,46.0,31.0,41.0,41.0,46.0,85.22727272727296,77.51937984496124,2026-03-02 19:12:51 UTC,Arnold Palmer Invitational presented by Mastercard,win
"Aberg, Ludvig",23950,41.0,51.0,41.0,34.0,41.0,36.0,41.0,41.0,29.0,34.0,36.0,41.0,70.33997655334099,77.92207792207812,2026-03-02 19:12:51 UTC,Arnold Palmer Invitational presented by Mastercard,win
"Bridgeman, Jacob",29433,56.0,66.0,46.0,51.0,56.0,61.0,59.0,56.0,36.0,51.0,56.0,61.0,75.00000000000018,81.41112618724581,2026-03-02 19:12:51 UTC,Arnold Palmer Invitational presented by Mastercard,win
"Mitchell, Keith",17365,81.0,81.0,81.0,101.0,81.0,91.0,87.0,76.0,41.0,67.0,81.0,81.0,95.69377990430624,82.41758241758265,2026-03-02 19:12:51 UTC,Arnold Palmer Invitational presented by Mastercard,win
"Spaun, J.J.",17536,71.0,81.0,81.0,51.0,71.0,76.0,60.0,71.0,41.0,67.0,67.0,71.0,83.44923504867894,90.49773755656108,2026-03-02 19:12:51 UTC,Arnold Palmer Invitational presented by Mastercard,win
"Thomas, Justin",14139,61.0,71.0,67.0,51.0,56.0,51.0,51.0,56.0,34.0,51.0,51.0,56.0,82.19178082191758,94.19152276295104,2026-03-02 19:12:51 UTC,Arnold Palmer Invitational presented by Mastercard,win
"Bradley, Keegan",13872,56.0,66.0,61.0,51.0,61.0,61.0,56.0,61.0,36.0,51.0,56.0,61.0,131.86813186813245,100.0,2026-03-02 19:12:51 UTC,Arnold Palmer Invitational presented by Mastercard,win
"Bhatia, Akshay",26096,61.0,66.0,51.0,51.0,61.0,61.0,61.0,61.0,36.0,51.0,56.0,61.0,83.79888268156448,103.8062283737028,2026-03-02 19:12:51 UTC,Arnold Palmer Invitational presented by Mastercard,win
"Thorbjornsen, Michael",26649,81.0,91.0,91.0,81.0,81.0,81.0,79.0,81.0,46.0,81.0,81.0,91.0,99.50248756218906,108.49909584086878,2026-03-02 19:12:51 UTC,Arnold Palmer Invitational presented by Mastercard,win
"Day, Jason",9771,61.0,71.0,61.0,51.0,61.0,61.0,54.0,61.0,34.0,51.0,51.0,56.0,133.92857142857264,116.50485436893248,2026-03-02 19:12:51 UTC,Arnold Palmer Invitational presented by Mastercard,win
"Conners, Corey",17576,71.0,71.0,71.0,67.0,71.0,61.0,79.0,71.0,41.0,67.0,71.0,76.0,155.03875968992247,116.73151750972856,2026-03-02 19:12:51 UTC,Arnold Palmer Invitational presented by Mastercard,win
"Noren, Alex",10419,76.0,91.0,71.0,51.0,81.0,76.0,63.0,76.0,41.0,67.0,67.0,71.0,105.44815465729388,122.6993865030675,2026-03-02 19:12:51 UTC,Arnold Palmer Invitational presented by Mastercard,win
"Spieth, Jordan",14636,56.0,61.0,46.0,51.0,56.0,61.0,57.0,61.0,36.0,51.0,56.0,61.0,137.2997711670487,126.8498942917553,2026-03-02 19:12:51 UTC,Arnold Palmer Invitational presented by Mastercard,win
"Straka, Sepp",17511,61.0,76.0,56.0,51.0,56.0,61.0,69.0,56.0,31.0,51.0,56.0,61.0,118.11023622047335,128.47965738758086,2026-03-02 19:12:51 UTC,Arnold Palmer Invitational presented by Mastercard,win
"Stevens, Sam",25569,91.0,111.0,91.0,81.0,91.0,91.0,81.0,101.0,51.0,81.0,81.0,91.0,109.2896174863388,129.58963282937478,2026-03-02 19:12:51 UTC,Arnold Palmer Invitational presented by Mastercard,win
"Taylor, Nick",13126,71.0,91.0,81.0,51.0,76.0,76.0,68.0,76.0,41.0,67.0,67.0,71.0,161.7250673854456,134.8314606741585,2026-03-02 19:12:51 UTC,Arnold Palmer Invitational presented by Mastercard,win
