tour,event_name,course_name,event_id,date_start,date_end,last_updated,current_round,tz_offset,dg_id,player_num,player_name,am,pre_tourn_pageviews,country,dg_rank,owgr_rank,tour_rank,r1_course_code,r1_course_name,r1_course_num,r1_round_num,r1_start_hole,r1_teetime,r1_wave,r2_course_code,r2_course_name,r2_course_num,r2_round_num,r2_start_hole,r2_teetime,r2_wave,r3_course_code,r3_course_name,r3_course_num,r3_round_num,r3_start_hole,r3_teetime,r3_wave,r4_course_code,r4_course_name,r4_course_num,r4_round_num,r4_start_hole,r4_teetime,r4_wave
pga,Cognizant Classic,PGA National Resort (The Champion Course),10,2026-02-26,2026-03-01,2026-02-23 00:54:40 UTC,1,-18000,19846,48001,"Bauchou, Zach",0,0,USA,195.0,178.0,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pga,Cognizant Classic,PGA National Resort (The Champion Course),10,2026-02-26,2026-03-01,2026-02-23 00:54:40 UTC,1,-18000,17606,40026,"Berger, Daniel",0,0,USA,73.0,60.0,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pga,Cognizant Classic,PGA National Resort (The Champion Course),10,2026-02-26,2026-03-01,2026-02-23 00:54:40 UTC,1,-18000,18103,45522,"Bezuidenhout, Christiaan",0,0,RSA,45.0,89.0,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pga,Cognizant Classic,PGA National Resort (The Champion Course),10,2026-02-26,2026-03-01,2026-02-23 00:54:40 UTC,1,-18000,24956,54788,"Blanchet, Chandler",0,0,USA,148.0,137.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pga,Cognizant Classic,PGA National Resort (The Champion Course),10,2026-02-26,2026-03-01,2026-02-23 00:54:40 UTC,1,-18000,29197,61522,"Brennan, Michael",0,0,USA,103.0,39.0,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pga,Cognizant Classic,PGA National Resort (The Champion Course),10,2026-02-26,2026-03-01,2026-02-23 00:54:40 UTC,1,-18000,29433,60004,"Bridgeman, Jacob",0,0,USA,46.0,52.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pga,Cognizant Classic,PGA National Resort (The Champion Course),10,2026-02-26,2026-03-01,2026-02-23 00:54:40 UTC,1,-18000,32152,66417,"Brown, Blades",0,0,USA,248.0,332.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pga,Cognizant Classic,PGA National Resort (The Champion Course),10,2026-02-26,2026-03-01,2026-02-23 00:54:40 UTC,1,-18000,20766,57259,"Brown, Dan",0,0,ENG,113.0,76.0,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pga,Cognizant Classic,PGA National Resort (The Champion Course),10,2026-02-26,2026-03-01,2026-02-23 00:54:40 UTC,1,-18000,12909,32070,"Campos, Rafael",0,0,PUR,,423.0,T132,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pga,Cognizant Classic,PGA National Resort (The Champion Course),10,2026-02-26,2026-03-01,2026-02-23 00:54:40 UTC,1,-18000,27819,59440,"Castillo, Ricky",0,0,USA,109.0,159.0,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pga,Cognizant Classic,PGA National Resort (The Champion Course),10,2026-02-26,2026-03-01,2026-02-23 00:54:40 UTC,1,-18000,30620,59006,"Chatfield, Davis",0,0,USA,263.0,234.0,152,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pga,Cognizant Classic,PGA National Resort (The Champion Course),10,2026-02-26,2026-03-01,2026-02-23 00:54:40 UTC,1,-18000,32330,66743,"Clanton, Luke",0,0,USA,235.0,207.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pga,Cognizant Classic,PGA National Resort (The Champion Course),10,2026-02-26,2026-03-01,2026-02-23 00:54:40 UTC,1,-18000,21756,47591,"Cole, Eric",0,0,USA,119.0,117.0,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pga,Cognizant Classic,PGA National Resort (The Champion Course),10,2026-02-26,2026-03-01,2026-02-23 00:54:40 UTC,1,-18000,14509,34076,"Dahmen, Joel",0,0,USA,131.0,180.0,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pga,Cognizant Classic,PGA National Resort (The Champion Course),10,2026-02-26,2026-03-01,2026-02-23 00:54:40 UTC,1,-18000,17786,45157,"Davis, Cam",0,0,AUS,431.0,158.0,149,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pga,Cognizant Classic,PGA National Resort (The Champion Course),10,2026-02-26,2026-03-01,2026-02-23 00:54:40 UTC,1,-18000,16757,37338,"Dou, Zecheng",0,0,CHN,122.0,185.0,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pga,Cognizant Classic,PGA National Resort (The Champion Course),10,2026-02-26,2026-03-01,2026-02-23 00:54:40 UTC,1,-18000,22002,50497,"Dumont De Chassart, Adrien",0,0,BEL,133.0,161.0,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pga,Cognizant Classic,PGA National Resort (The Champion Course),10,2026-02-26,2026-03-01,2026-02-23 00:54:40 UTC,1,-18000,28270,59866,"Dunlap, Nick",0,0,USA,372.0,197.0,151,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pga,Cognizant Classic,PGA National Resort (The Champion Course),10,2026-02-26,2026-03-01,2026-02-23 00:54:40 UTC,1,-18000,22833,51349,"Echavarria, Nico",0,0,COL,89.0,58.0,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pga,Cognizant Classic,PGA National Resort (The Champion Course),10,2026-02-26,2026-03-01,2026-02-23 00:54:40 UTC,1,-18000,26653,57362,"Eckroat, Austin",0,0,USA,141.0,150.0,T140,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pga,Cognizant Classic,PGA National Resort (The Champion Course),10,2026-02-26,2026-03-01,2026-02-23 00:54:40 UTC,1,-18000,21883,50286,"Ewart, A.J.",0,0,CAN,299.0,363.0,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pga,Cognizant Classic,PGA National Resort (The Champion Course),10,2026-02-26,2026-03-01,2026-02-23 00:54:40 UTC,1,-18000,25094,54576,"Fishburn, Patrick",0,0,USA,180.0,147.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pga,Cognizant Classic,PGA National Resort (The Champion Course),10,2026-02-26,2026-03-01,2026-02-23 00:54:40 UTC,1,-18000,26657,57123,"Fisk, Steven",0,0,USA,154.0,120.0,T137,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pga,Cognizant Classic,PGA National Resort (The Champion Course),10,2026-02-26,2026-03-01,2026-02-23 00:54:40 UTC,1,-18000,31343,65256,"Ford, David",0,0,USA,210.0,317.0,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pga,Cognizant Classic,PGA National Resort (The Champion Course),10,2026-02-26,2026-03-01,2026-02-23 00:54:40 UTC,1,-18000,11451,29535,"Garnett, Brice",0,0,USA,247.0,337.0,116,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pga,Cognizant Classic,PGA National Resort (The Champion Course),10,2026-02-26,2026-03-01,2026-02-23 00:54:40 UTC,1,-18000,29767,59018,"Gerard, Ryan",0,0,USA,33.0,25.0,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pga,Cognizant Classic,PGA National Resort (The Champion Course),10,2026-02-26,2026-03-01,2026-02-23 00:54:40 UTC,1,-18000,24550,52375,"Ghim, Doug",0,0,USA,124.0,165.0,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pga,Cognizant Classic,PGA National Resort (The Champion Course),10,2026-02-26,2026-03-01,2026-02-23 00:54:40 UTC,1,-18000,24968,54591,"Griffin, Ben",0,0,USA,9.0,11.0,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pga,Cognizant Classic,PGA National Resort (The Champion Course),10,2026-02-26,2026-03-01,2026-02-23 00:54:40 UTC,1,-18000,12808,31646,"Grillo, Emiliano",0,0,ARG,116.0,109.0,115,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pga,Cognizant Classic,PGA National Resort (The Champion Course),10,2026-02-26,2026-03-01,2026-02-23 00:54:40 UTC,1,-18000,9166,25444,"Hicks, Justin",0,0,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pga,Cognizant Classic,PGA National Resort (The Champion Course),10,2026-02-26,2026-03-01,2026-02-23 00:54:40 UTC,1,-18000,24342,54421,"Higgo, Garrick",0,0,RSA,82.0,74.0,T137,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pga,Cognizant Classic,PGA National Resort (The Champion Course),10,2026-02-26,2026-03-01,2026-02-23 00:54:40 UTC,1,-18000,28469,60067,"Highsmith, Joe",0,0,USA,440.0,126.0,122,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pga,Cognizant Classic,PGA National Resort (The Champion Course),10,2026-02-26,2026-03-01,2026-02-23 00:54:40 UTC,1,-18000,20954,49120,"Hirata, Kensei",0,0,JPN,300.0,167.0,103,,,,,,,,,,,,,,,,,,,,,,,,,,,,
