player_name,dg_id,bet365,betcris,betonline,betmgm,betway,bovada,caesars,draftkings,fanduel,pinnacle,skybet,pointsbet,williamhill,unibet,datagolf_baseline,datagolf_base_history_fit,last_updated,event_name,market
"Bridgeman, Jacob",29433,1.18,1.194174757281553,1.2,1.2,1.2,1.181818,1.2,1.2,1.181818181818182,1.18,1.22,1.19,1.22,1.15,,1.175558953791716,2026-02-22 12:48:58 UTC,The Genesis Invitational,win
"McIlroy, Rory",10091,6.0,6.5,6.0,6.0,6.0,6.0,5.9,6.3,6.5,6.6,7.0,6.0,5.5,4.8,,9.57510472770796,2026-02-22 12:48:58 UTC,The Genesis Invitational,win
"Potgieter, Aldrich",27900,34.0,36.5,29.0,36.0,34.0,29.0,26.0,33.0,28.0,47.5,34.0,29.0,,26.0,,67.11221721987624,2026-02-22 12:48:58 UTC,The Genesis Invitational,win
"Schauffele, Xander",19895,56.0,56.5,51.0,56.0,51.0,56.0,56.0,61.0,51.0,71.2,61.0,51.0,51.0,41.0,,92.14820502975648,2026-02-22 12:48:58 UTC,The Genesis Invitational,win
"Rai, Aaron",18554,76.0,81.5,71.0,81.0,81.0,81.0,81.0,71.0,71.0,146.75,81.0,67.0,,61.0,,161.35538523598223,2026-02-22 12:48:58 UTC,The Genesis Invitational,win
"Kitayama, Kurt",21891,111.0,121.5,101.0,111.0,101.0,101.0,101.0,106.0,101.0,175.51,126.0,101.0,,81.0,,178.99761336515726,2026-02-22 12:48:58 UTC,The Genesis Invitational,win
"Penge, Marco",22465,301.0,,,351.0,301.0,251.0,226.0,341.0,201.0,,276.0,251.0,,226.0,,708.59167404783,2026-02-22 12:48:58 UTC,The Genesis Invitational,win
"Greyserman, Max",23465,351.0,,,351.0,301.0,401.0,276.0,321.0,201.0,,276.0,251.0,,226.0,,786.3695937090845,2026-02-22 12:48:58 UTC,The Genesis Invitational,win
"Fleetwood, Tommy",12294,251.0,201.5,201.0,301.0,251.0,251.0,226.0,401.0,151.0,,226.0,201.0,251.0,181.0,,830.4498269896653,2026-02-22 12:48:58 UTC,The Genesis Invitational,win
"Knapp, Jake",19396,401.0,,,601.0,401.0,501.0,401.0,476.0,301.0,,401.0,351.0,401.0,301.0,,962.3095429030288,2026-02-22 12:48:58 UTC,The Genesis Invitational,win
"Scott, Adam",6430,501.0,,,501.0,501.0,501.0,401.0,601.0,401.0,,551.0,351.0,,351.0,,1078.6516853932972,2026-02-22 12:48:58 UTC,The Genesis Invitational,win
"Fox, Ryan",11889,601.0,,,751.0,501.0,751.0,501.0,926.0,401.0,,551.0,401.0,,401.0,,2867.383512544803,2026-02-22 12:48:58 UTC,The Genesis Invitational,win
"Young, Cameron",26651,1001.0,,,1001.0,1001.0,1001.0,1501.0,1151.0,751.0,,1001.0,501.0,,651.0,,3049.5552731899465,2026-02-22 12:48:58 UTC,The Genesis Invitational,win
"Morikawa, Collin",22085,1501.0,,,2001.0,1001.0,2501.0,1501.0,4001.0,1001.0,,1251.0,1001.0,,1001.0,,5161.290322580645,2026-02-22 12:48:58 UTC,The Genesis Invitational,win
"Scheffler, Scottie",18417,601.0,,,501.0,501.0,401.0,401.0,851.0,401.0,,551.0,351.0,,351.0,,9230.76923077207,2026-02-22 12:48:58 UTC,The Genesis Invitational,win
"Fitzpatrick, Matt",17646,2001.0,,,2001.0,1001.0,2501.0,2001.0,4501.0,1001.0,,1251.0,1001.0,,1001.0,,9795.918367350136,2026-02-22 12:48:58 UTC,The Genesis Invitational,win
"Bhatia, Akshay",26096,1501.0,,,1501.0,1001.0,2501.0,1001.0,1801.0,1001.0,,1251.0,501.0,1001.0,801.0,,10958.904109589042,2026-02-22 12:48:58 UTC,The Genesis Invitational,win
"Clark, Wyndham",23604,2501.0,,,2001.0,1001.0,2501.0,5001.0,5001.0,1001.0,,1251.0,1001.0,,1001.0,,14814.814814814814,2026-02-22 12:48:58 UTC,The Genesis Invitational,win
"Noren, Alex",10419,5001.0,,,2501.0,1001.0,2501.0,4001.0,5001.0,1001.0,,1251.0,1001.0,,1001.0,,15789.473684210534,2026-02-22 12:48:58 UTC,The Genesis Invitational,win
"Cantlay, Patrick",15466,2001.0,,,1501.0,1001.0,2501.0,4001.0,3501.0,1001.0,,1251.0,1001.0,,1001.0,,20000.0,2026-02-22 12:48:58 UTC,The Genesis Invitational,win
"McCarty, Matt",28635,5001.0,,,,3001.0,2501.0,5001.0,5001.0,1001.0,,1251.0,501.0,,1001.0,,26666.666666666668,2026-02-22 12:48:58 UTC,The Genesis Invitational,win
"Coody, Pierceson",28309,5001.0,,,1501.0,1501.0,2501.0,4001.0,4501.0,1001.0,,1251.0,1001.0,,1001.0,,26666.666666666668,2026-02-22 12:48:58 UTC,The Genesis Invitational,win
"Spieth, Jordan",14636,2501.0,,,1501.0,1501.0,2501.0,4001.0,4501.0,1001.0,,1251.0,1001.0,,1001.0,,30000.00000000003,2026-02-22 12:48:58 UTC,The Genesis Invitational,win
"MacIntyre, Robert",23323,5001.0,,,,1501.0,2501.0,4001.0,5001.0,1001.0,,1251.0,1001.0,,1001.0,,32000.0,2026-02-22 12:48:58 UTC,The Genesis Invitational,win
"Lee, Min Woo",16841,5001.0,,,,1501.0,2501.0,4001.0,5001.0,1001.0,,1251.0,501.0,,1001.0,,80000.0,2026-02-22 12:48:58 UTC,The Genesis Invitational,win
"Finau, Tony",11676,5001.0,,,,3001.0,2501.0,5001.0,5001.0,1001.0,,1251.0,501.0,,1001.0,,120000.00000000004,2026-02-22 12:48:58 UTC,The Genesis Invitational,win
"Harman, Brian",8825,,,,,,2501.0,5001.0,,1001.0,,1251.0,1001.0,,,,,2026-02-22 12:48:58 UTC,The Genesis Invitational,win
"Valimaki, Sami",23816,,,,,,2501.0,5001.0,,1001.0,,1251.0,1001.0,,,,,2026-02-22 12:48:58 UTC,The Genesis Invitational,win
"Pendrith, Taylor",17780,,,,,,2501.0,4001.0,,1001.0,,1251.0,1001.0,,,,,2026-02-22 12:48:58 UTC,The Genesis Invitational,win
